Player,Team,Position,Projection
Josh Allen,BUF,QB,334.51
Lamar Jackson,BAL,QB,330.17
Jalen Hurts,PHI,QB,327.98
Jayden Daniels,WAS,QB,326.17
Ja'Marr Chase,CIN,WR,312.29
Justin Jefferson,MIN,WR,300.39
Saquon Barkley,PHI,RB,299.47
Joe Burrow,CIN,QB,297.64
Bijan Robinson,ATL,RB,286.57
Patrick Mahomes II,KC,QB,286.25
Baker Mayfield,TB,QB,281.43
Jahmyr Gibbs,DET,RB,281.40
CeeDee Lamb,DAL,WR,280.45
Bo Nix,DEN,QB,279.34
Christian McCaffrey,SF,RB,278.29
Amon-Ra St. Brown,DET,WR,277.47
Ashton Jeanty,LV,RB,276.79
Puka Nacua,LAR,WR,276.75
De'Von Achane,MIA,RB,276.49
Kyler Murray,ARI,QB,274.33
Brock Purdy,SF,QB,270.18
Malik Nabers,NYG,WR,265.40
Justin Herbert,LAC,QB,264.38
Derrick Henry,BAL,RB,262.25
Nico Collins,HOU,WR,260.15
Justin Fields,NYJ,QB,259.95
Jared Goff,DET,QB,259.67
Drake Maye,NE,QB,255.40
Bucky Irving,TB,RB,255.05
Caleb Williams,CHI,QB,254.40
C.J. Stroud,HOU,QB,253.70
Jordan Love,GB,QB,253.19
A.J. Brown,PHI,WR,251.81
Dak Prescott,DAL,QB,251.12
Trevor Lawrence,JAC,QB,250.70
Jonathan Taylor,IND,RB,247.37
Breece Hall,NYJ,RB,246.75
Tua Tagovailoa,MIA,QB,246.31
Drake London,ATL,WR,245.82
Josh Jacobs,GB,RB,245.55
J.J. McCarthy,MIN,QB,245.46
Matthew Stafford,LAR,QB,243.76
Brian Thomas Jr.,JAC,WR,243.74
Chase Brown,CIN,RB,243.66
Kyren Williams,LAR,RB,243.01
Tee Higgins,CIN,WR,241.69
Jaxon Smith-Njigba,SEA,WR,241.24
Tyreek Hill,MIA,WR,240.06
Bryce Young,CAR,QB,239.72
Michael Penix Jr.,ATL,QB,237.35
Trey McBride,ARI,TE,237.22
Brock Bowers,LV,TE,235.84
Alvin Kamara,NO,RB,235.59
Geno Smith,LV,QB,234.75
James Cook,BUF,RB,234.61
Joe Mixon,HOU,RB,233.95
Garrett Wilson,NYJ,WR,231.75
Anthony Richardson Sr.,IND,QB,230.86
Chuba Hubbard,CAR,RB,230.59
Kenneth Walker III,SEA,RB,230.13
Terry McLaurin,WAS,WR,230.02
Davante Adams,LAR,WR,228.68
DJ Moore,CHI,WR,228.59
Sam Darnold,SEA,QB,226.77
James Conner,ARI,RB,218.43
DeVonta Smith,PHI,WR,217.46
Mike Evans,TB,WR,215.35
Cameron Ward,TEN,QB,214.61
Marvin Harrison Jr.,ARI,WR,214.56
Omarion Hampton,LAC,RB,214.23
Ladd McConkey,LAC,WR,211.35
George Kittle,SF,TE,209.71
Xavier Worthy,KC,WR,209.50
Zay Flowers,BAL,WR,207.08
David Montgomery,DET,RB,207.07
Aaron Jones Sr.,MIN,RB,206.83
Tetairoa McMillan,CAR,WR,205.01
DK Metcalf,PIT,WR,203.45
Rashee Rice,KC,WR,202.53
Chris Olave,NO,WR,202.21
Courtland Sutton,DEN,WR,202.10
Tony Pollard,TEN,RB,200.98
Jaylen Waddle,MIA,WR,199.93
Jerry Jeudy,CLE,WR,199.73
Travis Hunter,JAC,WR,198.04
Jameson Williams,DET,WR,197.64
Jordan Addison,MIN,WR,196.04
RJ Harvey,DEN,RB,195.64
TreVeyon Henderson,NE,RB,194.66
George Pickens,DAL,WR,194.26
Khalil Shakir,BUF,WR,193.22
Quinshon Judkins,CLE,RB,192.39
Jakobi Meyers,LV,WR,190.57
Jauan Jennings,SF,WR,189.74
Isiah Pacheco,KC,RB,189.47
Deebo Samuel Sr.,WAS,WR,189.29
Calvin Ridley,TEN,WR,189.10
D'Andre Swift,CHI,RB,188.57
Rome Odunze,CHI,WR,187.80
Tyrone Tracy Jr.,NYG,RB,187.73
Kaleb Johnson,PIT,RB,186.69
T.J. Hockenson,MIN,TE,186.47
Josh Downs,IND,WR,185.84
Stefon Diggs,NE,WR,185.57
Travis Kelce,KC,TE,184.79
Sam LaPorta,DET,TE,184.66
Ricky Pearsall,SF,WR,184.48
Cooper Kupp,SEA,WR,183.72
Derek Carr,FA,QB,182.72
Chris Godwin,TB,WR,179.47
Jonnu Smith,MIA,TE,178.98
Jaylen Warren,PIT,RB,178.41
Matthew Golden,GB,WR,178.37
David Njoku,CLE,TE,174.98
Jaxson Dart,NYG,QB,172.79
Jayden Reed,GB,WR,172.74
Michael Pittman Jr.,IND,WR,172.64
Brian Robinson Jr.,WAS,RB,172.10
Cam Skattebo,NYG,RB,171.79
Darnell Mooney,ATL,WR,171.50
Travis Etienne Jr.,JAC,RB,171.23
Daniel Jones,IND,QB,169.25
Rashid Shaheed,NO,WR,168.73
Tyler Shough,NO,QB,166.16
Brandon Aiyuk,SF,WR,164.02
Evan Engram,DEN,TE,159.07
Tank Bigsby,JAC,RB,158.37
Marvin Mims Jr.,DEN,WR,157.25
Keon Coleman,BUF,WR,157.15
Emeka Egbuka,TB,WR,157.14
Luther Burden III,CHI,WR,157.04
Zach Charbonnet,SEA,RB,154.31
Mark Andrews,BAL,TE,153.87
Tucker Kraft,GB,TE,152.17
Dalton Kincaid,BUF,TE,149.29
Tyjae Spears,TEN,RB,148.60
Adam Thielen,CAR,WR,148.23
Cedric Tillman,CLE,WR,147.31
Javonte Williams,DAL,RB,146.86
Rhamondre Stevenson,NE,RB,146.66
Christian Kirk,HOU,WR,146.56
Rachaad White,TB,RB,144.89
Jack Bech,LV,WR,144.12
Jake Ferguson,DAL,TE,143.44
Dallas Goedert,PHI,TE,142.00
Rashod Bateman,BAL,WR,141.63
Tre Harris,LAC,WR,140.92
Marquise Brown,KC,WR,139.91
Austin Ekeler,WAS,RB,139.28
Pat Freiermuth,PIT,TE,138.84
Quentin Johnston,LAC,WR,138.59
Tyler Warren,IND,TE,137.09
Xavier Legette,CAR,WR,136.91
Colston Loveland,CHI,TE,136.80
Wan'Dale Robinson,NYG,WR,136.32
Jayden Higgins,HOU,WR,133.24
Hunter Henry,NE,TE,131.67
Romeo Doubs,GB,WR,130.43
Jordan Mason,MIN,RB,129.32
DeAndre Hopkins,BAL,WR,129.02
Najee Harris,LAC,RB,128.82
Trey Benson,ARI,RB,127.23
Zach Ertz,WAS,TE,126.79
Mike Gesicki,CIN,TE,125.68
Rico Dowdle,CAR,RB,124.47
Chig Okonkwo,TEN,TE,123.27
Tyler Allgeier,ATL,RB,123.09
Kyle Pitts,ATL,TE,123.02
Dalton Schultz,HOU,TE,122.72
Brenton Strange,JAC,TE,122.62
Alec Pierce,IND,WR,122.16
Ray Davis,BUF,RB,122.10
Cade Otton,TB,TE,121.17
Isaiah Likely,BAL,TE,120.71
Jalen Coker,CAR,WR,118.57
Isaac Guerendo,SF,RB,117.97
Michael Wilson,ARI,WR,117.32
Ja'Tavion Sanders,CAR,TE,115.28
Nick Chubb,FA,RB,115.13
Joe Flacco,CLE,QB,114.06
Andrei Iosivas,CIN,WR,113.37
Juwan Johnson,NO,TE,113.23
Adonai Mitchell,IND,WR,111.88
Joshua Palmer,BUF,WR,111.40
Cole Kmet,CHI,TE,106.42
DeMario Douglas,NE,WR,106.29
Blake Corum,LAR,RB,105.63
Jalen Tolbert,DAL,WR,104.39
Jaleel McLaughlin,DEN,RB,103.70
Bhayshul Tuten,JAC,RB,103.33
Jaylen Wright,MIA,RB,103.16
Noah Fant,SEA,TE,101.67
Darius Slayton,NYG,WR,100.29
Brandin Cooks,NO,WR,99.82
Elic Ayomanor,TEN,WR,98.56
Roschon Johnson,CHI,RB,97.56
Mason Taylor,NYJ,TE,97.34
Diontae Johnson,CLE,WR,97.11
Jalen McMillan,TB,WR,94.98
Jerome Ford,CLE,RB,94.81
Braelon Allen,NYJ,RB,93.94
Theo Johnson,NYG,TE,93.55
Aaron Rodgers,FA,QB,92.11
Xavier Restrepo,TEN,WR,91.49
Mike Williams,LAC,WR,91.15
Pat Bryant,DEN,WR,90.29
Noah Gray,KC,TE,90.00
Tyler Lockett,TEN,WR,88.85
Jaylin Noel,HOU,WR,88.57
Taysom Hill,NO,TE,88.19
Jalen Royals,KC,WR,85.86
Devaughn Vele,DEN,WR,85.70
Jaydon Blue,DAL,RB,83.79
MarShawn Lloyd,GB,RB,82.54
J.K. Dobbins,FA,RB,81.92
Tyler Higbee,LAR,TE,80.09
Dylan Sampson,CLE,RB,78.09
Nick Westbrook-Ikhine,MIA,WR,77.68
Elijah Arroyo,SEA,TE,76.05
Kayshon Boutte,NE,WR,75.56
Elijah Moore,BUF,WR,75.10
Harold Fannin Jr.,CLE,TE,74.29
Calvin Austin III,PIT,WR,71.21
Justice Hill,BAL,RB,71.10
Mason Rudolph,PIT,QB,70.67
Kareem Hunt,KC,RB,69.69
Will Dissly,LAC,TE,69.60
Russell Wilson,NYG,QB,69.52
Devin Neal,NO,RB,68.62
Dyami Brown,JAC,WR,67.67
Kendre Miller,NO,RB,66.40
Malik Washington,MIA,WR,64.99
Audric Estime,DEN,RB,64.79
Terrance Ferguson,LAR,TE,64.13
Tutu Atwell,LAR,WR,64.07
Jordan Whittington,LAR,WR,61.22
Tyler Conklin,LAC,TE,60.16
Dontayvion Wicks,GB,WR,59.81
Tre Tucker,LV,WR,59.70
Antonio Gibson,NE,RB,59.59
DJ Giddens,IND,RB,58.98
Ben Sinnott,WAS,TE,57.12
Tai Felton,MIN,WR,56.11
KaVontae Turpin,DAL,WR,55.88
Dawson Knox,BUF,TE,54.74
Jordan James,SF,RB,54.41
Michael Mayer,LV,TE,54.41
Isaac TeSlaa,DET,WR,54.34
Tim Patrick,DET,WR,53.13
Devin Singletary,NYG,RB,52.17
Will Shipley,PHI,RB,51.87
Noah Brown,WAS,WR,51.74
Foster Moreau,NO,TE,51.05
Gunnar Helm,TEN,TE,50.59
Kenneth Gainwell,PIT,RB,50.14
Jalen Nailor,MIN,WR,49.74
Luke McCaffrey,WAS,WR,48.86
Kendrick Bourne,NE,WR,48.85
Elijah Mitchell,KC,RB,48.58
Austin Hooper,NE,TE,48.47
Shedeur Sanders,CLE,QB,48.43
Jalen Milroe,SEA,QB,46.44
Roman Wilson,PIT,WR,45.57
Luke Musgrave,GB,TE,45.26
Miles Sanders,DAL,RB,45.23
Darnell Washington,PIT,TE,44.73
Marquez Valdes-Scantling,SEA,WR,44.72
Demarcus Robinson,SF,WR,44.33
Troy Franklin,DEN,WR,43.08
Jermaine Burton,CIN,WR,42.88
Cade Stover,HOU,TE,42.46
Tommy Tremble,CAR,TE,42.44
Oronde Gadsden II,LAC,TE,40.80
Kirk Cousins,ATL,QB,40.60
Tory Horton,SEA,WR,40.36
Allen Lazard,NYJ,WR,40.21
Woody Marks,HOU,RB,39.73
Savion Williams,GB,WR,39.35
Ty Johnson,BUF,RB,39.25
Parker Washington,JAC,WR,38.94
Raheem Mostert,LV,RB,38.35
Elijah Higgins,ARI,TE,38.35
Curtis Samuel,BUF,WR,38.06
Luke Schoonmaker,DAL,TE,37.87
AJ Barner,SEA,TE,37.80
Ray-Ray McCloud III,ATL,WR,37.56
Greg Dulcich,NYG,TE,37.24
Jameis Winston,NYG,QB,36.57
Josh Reynolds,NYJ,WR,36.01
Jaylin Lane,WAS,WR,35.99
Christian Watson,GB,WR,35.56
Sincere McCormick,LV,RB,35.48
Josh Oliver,MIN,TE,35.47
Mack Hollins,NE,WR,35.44
Jonathan Mingo,DAL,WR,35.33
Grant Calcaterra,PHI,TE,34.97
Marcus Mariota,WAS,QB,34.85
Trevor Etienne,CAR,RB,34.69
Joe Milton III,DAL,QB,33.73
Will Levis,TEN,QB,33.24